geo_id,geo_name,geo_abbrv,geo_pop,geo_acres,acreTotal,acrePark,acreMonument,acreHistorical,acreBattlefield,acreMemorial,acrePreserve,acreOther,normTotal,normPark,normMonument,normHistorical,normBattlefield,normMemorial,normPreserve,normOther,pctTotal,pctPark,pctMonument,pctHistorical,pctBattlefield,pctMemorial,pctPreserve,pctOther,place,link
USA-3541,Alabama,AL,4903185,32413011,22747,,317,148,2040,,,20242,70.17860821,,0.978002321,0.456606762,6.293768882,,,62.45023025,463.9229399,,6.465185385,3.018446173,41.60560942,,,412.8336989,Birmingham Civil Rights National Monument,https://www.nps.gov/bicr/index.htm
USA-3520,Arizona,AZ,7278717,72700211,2947211,1514753,473706,1520,,4830,,952402,4053.923585,2083.560665,651.5882052,2.090777976,,6.643722121,,1310.040214,40490.80353,20810.71431,6508.097512,20.88280119,,66.35784851,,13084.75106,Petrified Forest National Park,https://www.nps.gov/pefo/index.htm
USA-3528,Arkansas,AR,3017825,33302707,104982,5554,,77,4300,758,,94293,315.2356353,16.67732296,,0.231212436,12.91186329,2.27609125,,283.1391454,3478.730543,184.03983,,2.551506466,142.4867247,25.11742729,,3124.535054,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3521,California,CA,39512223,99698701,8210924,6242123,69386,1395,,5,1616763,281252,8235.738197,6260.987292,69.59569112,1.399215823,,0.00501511,1621.649012,282.1019704,20780.71892,15797.95447,175.6064193,3.530553065,,0.012654312,4091.804706,711.8101151,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3522,Colorado,CO,5758736,66330810,738668,456414,183595,13382,,,41686,43591,1113.612211,688.0874815,276.7869109,20.17463679,,,62.84560674,65.71757529,12826.91202,7925.593394,3188.112808,232.3773828,,,723.8741279,756.9543039,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3537,Connecticut,CT,3565287,3099110,7781,,,74,,,,7707,251.072082,,,2.387782299,,,,248.6842997,218.2432999,,,2.075569232,,,,216.1677307,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3555,Delaware,DE,973764,1247066,904,,,904,,,,,72.49014888,,,72.49014888,,,,,92.83563574,,,92.83563574,,,,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3542,Florida,FL,21477737,34319846,2638605,1746611,319,,,168,891507,,7688.277506,5089.215727,0.92949135,,,0.489512686,2597.642775,,12285.30268,8132.192884,1.485258899,,,0.782205313,4150.842335,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3543,Georgia,GA,10617423,36808634,67524,,5928,3963,8460,,36347,12826,183.4460904,,16.10491712,10.76649571,22.983738,,98.74585403,34.84508553,635.9735314,,55.83275716,37.3254414,79.68035181,,342.3335399,120.8014412,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3518,Idaho,ID,1787147,52891597,806298,30551,57789,4611,,,713347,,1524.434968,57.76153819,109.2593215,8.717830925,,,1348.696278,,45116.49014,1709.484446,3233.589626,258.0089942,,,39915.40707,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3546,Illinois,IL,12671821,35532115,114,,102,12,,,,,0.320836516,,0.287064252,0.033772265,,,,,0.89963392,,0.804935613,0.094698307,,,,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3547,Indiana,IN,6732219,22928710,15575,15349,,26,,200,,,67.92793838,66.94227455,,0.113394953,,0.872268872,,,231.3501685,227.9931773,,0.386202528,,2.970788681,,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3529,Iowa,IA,3155070,35748563,2713,,2526,187,,,,,7.589116239,,7.06601829,0.523097949,,,,,85.98858345,,80.06161511,5.92696834,,,,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3530,Kansas,KS,2913314,52325581,11628,,,745,,,10883,,22.22240017,,,1.423777789,,,20.79862238,,399.1330835,,,25.57225208,,,373.5608314,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3548,Kentucky,KY,4467673,25271258,97504,54012,380,8408,,,,34704,385.8296251,213.7289723,1.503684542,33.27099901,,,,137.3259693,2182.433674,1208.951506,8.5055464,188.1964056,,,,776.7802165,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3535,Louisiana,LA,4648794,27650496,27000,,911,26086,3,,,,97.64743461,,3.294696775,94.34188812,0.010849715,,,,580.7957935,,19.59648029,561.1347803,0.064532866,,,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3561,Maine,ME,1344212,19739469,182007,49077,87564,7,,,,45359,922.0460794,248.6237092,443.5985588,0.035461947,,,,229.7883494,13540.05172,3650.9866,6514.151042,0.520751191,,,,3374.393325,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3557,Maryland,MD,6045680,6212634,74059,20731,43,7008,4856,10053,11773,19595,1192.070867,333.6909916,0.692137988,112.8023959,78.163304,161.8154232,189.5009428,315.4056717,1224.990406,342.9060089,0.711251671,115.9174816,80.32181657,166.2840243,194.7340911,324.1157322,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3513,Massachusetts,MA,6949503,4992038,59500,,,2668,,,43608,13224,1191.897978,,,53.44510599,,,873.5510427,264.9018297,856.1763338,,,38.3912346,,,627.4981103,190.2869889,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3562,Michigan,MI,9986857,36184896,718190,571790,,1870,42,,144488,,1984.7784,1580.189701,,5.167902099,0.116070528,,399.3047265,,7191.351593,5725.424926,,18.72460975,0.420552732,,1446.781505,,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3514,Minnesota,MN,5639632,50961114,301353,218222,992,,,,13319,68820,591.339114,428.2127742,1.946582251,,,,26.13561391,135.0441437,5343.486951,3869.436871,17.58980019,,,,236.1678918,1220.292388,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3544,Mississippi,MS,2976149,30030893,119300,,,108,7506,,71287,40399,397.257584,,,0.359629665,24.99426174,,237.3788885,134.5248042,4008.535863,,,3.628850572,252.2051147,,2395.276581,1357.425317,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3531,Missouri,MO,6137428,43994573,83545,193,240,22,2408,,,80682,189.8984222,0.438690472,0.545521831,0.050006168,5.473402367,,,183.3908014,1361.237965,3.144639742,3.910432839,0.358456344,39.23467615,,,1314.58976,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3515,Montana,MT,1068778,93149312,1274133,1198502,,1808,1741,,,72082,1367.83941,1286.646111,,1.940969784,1.869042253,,,77.3832876,119213.9995,112137.6001,,169.1651587,162.8963171,,,6744.337926,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
USA-3532,Nebraska,NE,1934408,49167469,66569,,6273,,,,,60296,135.3923669,,12.75843587,,,,,122.633931,3441.311244,,324.2852594,,,,,3117.025984,Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm
